asset_id,male,female,unknownUsers,percentMale,percentFemale,near_even,total_interactions
4218939,0,0,1,NaN%,NaN%,0,1
4218940,0,0,1,NaN%,NaN%,0,1
4218968,1,0,16,100%,0%,0,17
4218969,1,1,4,50%,50%,1,6
4218970,0,1,0,0%,100%,0,1
4218972,1,6,13,14%,86%,0,20
4218973,0,2,3,0%,100%,0,5
4218974,0,0,2,NaN%,NaN%,0,2
4218977,0,1,1,0%,100%,0,2
4218978,0,0,1,NaN%,NaN%,0,1
4219026,13,10,47,57%,43%,0,70
4219027,15,14,45,52%,48%,1,74
4219028,9,16,34,36%,64%,0,59
4219029,15,15,56,50%,50%,1,86
4219030,10,13,49,43%,57%,0,72
4219031,12,13,36,48%,52%,1,61
4219032,8,9,42,47%,53%,1,59
4219033,2,8,32,20%,80%,0,42
4219034,11,17,37,39%,61%,0,65
4219035,9,5,40,64%,36%,0,54
4219060,13,10,42,57%,43%,0,65
4219061,9,12,35,43%,57%,0,56
4219062,7,11,43,39%,61%,0,61
4219064,12,13,44,48%,52%,1,69
4219076,5,6,18,45%,55%,1,29
4219077,3,4,17,43%,57%,0,24
4219078,7,7,24,50%,50%,1,38
4219079,5,4,10,56%,44%,0,19
4219081,6,7,19,46%,54%,1,32
4219082,5,4,18,56%,44%,0,27
4219084,6,7,23,46%,54%,1,36
4219085,0,6,26,0%,100%,0,32
4219086,8,12,31,40%,60%,0,51
4219087,2,6,22,25%,75%,0,30
4219088,6,16,26,27%,73%,0,48
4219089,7,8,11,47%,53%,1,26
4219090,6,8,21,43%,57%,0,35
4219091,2,10,16,17%,83%,0,28
4219092,5,10,28,33%,67%,0,43
4219093,7,8,18,47%,53%,1,33
4219103,4,8,22,33%,67%,0,34
4219104,5,6,17,45%,55%,1,28
4219105,7,8,22,47%,53%,1,37
4219106,5,9,20,36%,64%,0,34
4219107,2,15,22,12%,88%,0,39
4219108,5,12,27,29%,71%,0,44
4219110,3,4,26,43%,57%,0,33
4219111,7,8,21,47%,53%,1,36
4219112,6,10,15,38%,63%,0,31
4219113,2,8,23,20%,80%,0,33
4219114,3,7,19,30%,70%,0,29
4219115,7,6,23,54%,46%,1,36
4219116,6,8,16,43%,57%,0,30
4219117,6,3,20,67%,33%,0,29
4219118,4,6,26,40%,60%,0,36
4219119,2,5,9,29%,71%,0,16
4219125,3,1,15,75%,25%,0,19
4219126,4,5,16,44%,56%,0,25
4219127,4,5,15,44%,56%,0,24
4219128,5,7,16,42%,58%,0,28
4219129,6,5,17,55%,45%,1,28
4219130,7,6,16,54%,46%,1,29
4219131,3,6,14,33%,67%,0,23
4219132,2,6,16,25%,75%,0,24
4219133,6,9,20,40%,60%,0,35
4219134,5,5,27,50%,50%,1,37
4219138,3,4,24,43%,57%,0,31
4219139,6,4,14,60%,40%,0,24
4219140,8,8,14,50%,50%,1,30
4219141,7,4,15,64%,36%,0,26
4219142,2,6,18,25%,75%,0,26
4219143,5,9,11,36%,64%,0,25
4219145,3,6,15,33%,67%,0,24
4219146,6,6,22,50%,50%,1,34
4219147,6,6,18,50%,50%,1,30
4219148,8,8,11,50%,50%,1,27
4219253,0,0,2,NaN%,NaN%,0,2
4219568,0,0,2,NaN%,NaN%,0,2
4219896,8,9,17,47%,53%,1,34
4219897,0,0,3,NaN%,NaN%,0,3
4219933,1,3,13,25%,75%,0,17
4220283,1,1,2,50%,50%,1,4
4220284,0,1,0,0%,100%,0,1
4220289,10,18,62,36%,64%,0,90
4220291,0,0,1,NaN%,NaN%,0,1
4220338,2,1,3,67%,33%,0,6
4220339,0,0,2,NaN%,NaN%,0,2
4220340,0,0,1,NaN%,NaN%,0,1
4220352,71,89,221,44%,56%,0,381
4220375,10,6,24,63%,38%,0,40
4220376,5,3,11,63%,38%,0,19
4220390,0,1,2,0%,100%,0,3
4220586,5,3,18,63%,38%,0,26
4220624,11,13,38,46%,54%,1,62
4220722,0,1,1,0%,100%,0,2
4220857,44,53,153,45%,55%,1,250
4220947,0,0,2,NaN%,NaN%,0,2
4220953,1,0,11,100%,0%,0,12
4221076,14,9,28,61%,39%,0,51
4221077,4,4,10,50%,50%,1,18
4221078,1,5,14,17%,83%,0,20
4221079,3,4,18,43%,57%,0,25
4221080,0,0,1,NaN%,NaN%,0,1
4221081,1,1,13,50%,50%,1,15
4221094,1,3,7,25%,75%,0,11
4221096,1,2,1,33%,67%,0,4
4221097,2,3,8,40%,60%,0,13
4221098,2,6,7,25%,75%,0,15
4221101,1,5,4,17%,83%,0,10
4221102,2,4,11,33%,67%,0,17
4221103,3,4,8,43%,57%,0,15
4221104,1,1,9,50%,50%,1,11
4221106,0,2,14,0%,100%,0,16
4221108,4,4,5,50%,50%,1,13
4221109,3,1,8,75%,25%,0,12
4221110,5,1,7,83%,17%,0,13
4221111,0,3,11,0%,100%,0,14
4221112,7,11,24,39%,61%,0,42
4221114,4,1,10,80%,20%,0,15
4221115,4,5,16,44%,56%,0,25
4221116,2,4,17,33%,67%,0,23
4221117,9,6,12,60%,40%,0,27
4221118,10,9,26,53%,47%,1,45
4221119,10,20,41,33%,67%,0,71
4221120,13,14,30,48%,52%,1,57
4221121,1,6,10,14%,86%,0,17
4221122,6,11,46,35%,65%,0,63
4221123,4,10,26,29%,71%,0,40
4221124,1,9,15,10%,90%,0,25
4221126,5,4,18,56%,44%,0,27
4221127,0,2,7,0%,100%,0,9
4221128,5,4,16,56%,44%,0,25
4221129,6,10,22,38%,63%,0,38
4221130,5,6,15,45%,55%,1,26
4221132,2,2,10,50%,50%,1,14
4221137,0,3,5,0%,100%,0,8
4221163,28,32,103,47%,53%,1,163
4221164,15,22,57,41%,59%,0,94
4221165,12,14,38,46%,54%,1,64
4221166,0,1,6,0%,100%,0,7
4221167,3,3,8,50%,50%,1,14
4221168,0,1,4,0%,100%,0,5
4221169,2,1,1,67%,33%,0,4
4221170,3,1,2,75%,25%,0,6
4221171,2,1,0,67%,33%,0,3
4221172,1,1,3,50%,50%,1,5
4221176,1,2,3,33%,67%,0,6
4221177,0,0,1,NaN%,NaN%,0,1
4221178,1,0,3,100%,0%,0,4
4221179,0,0,2,NaN%,NaN%,0,2
4221180,0,0,4,NaN%,NaN%,0,4
4221181,2,1,3,67%,33%,0,6
4221182,0,2,1,0%,100%,0,3
4221184,1,0,6,100%,0%,0,7
4221185,1,0,0,100%,0%,0,1
4221186,0,0,1,NaN%,NaN%,0,1
4221187,1,2,3,33%,67%,0,6
4221188,1,1,0,50%,50%,1,2
4221189,0,0,1,NaN%,NaN%,0,1
4221190,0,0,1,NaN%,NaN%,0,1
4221191,0,0,2,NaN%,NaN%,0,2
4221192,0,2,5,0%,100%,0,7
4221194,1,0,0,100%,0%,0,1
4221195,0,0,1,NaN%,NaN%,0,1
4221205,0,0,1,NaN%,NaN%,0,1
4221209,0,0,1,NaN%,NaN%,0,1
4221260,3,2,10,60%,40%,0,15
4221264,0,1,1,0%,100%,0,2
4221265,1,0,0,100%,0%,0,1
4221266,0,0,1,NaN%,NaN%,0,1
4221272,1,0,0,100%,0%,0,1
4221277,5,1,10,83%,17%,0,16
4221278,6,3,17,67%,33%,0,26
4221279,3,4,7,43%,57%,0,14
4221280,3,0,1,100%,0%,0,4
4221281,1,2,1,33%,67%,0,4
4221282,1,1,4,50%,50%,1,6
4221283,1,0,2,100%,0%,0,3
4221361,5,2,11,71%,29%,0,18
4221375,8,13,43,38%,62%,0,64
4221555,6,11,32,35%,65%,0,49
4221621,0,0,5,NaN%,NaN%,0,5
4221797,2,1,1,67%,33%,0,4
4221800,0,0,6,NaN%,NaN%,0,6
4221801,0,2,5,0%,100%,0,7
4221802,1,3,13,25%,75%,0,17
4221976,3,6,31,33%,67%,0,40
4221977,0,1,6,0%,100%,0,7
4221978,6,15,25,29%,71%,0,46
4221979,19,20,74,49%,51%,1,113
4221980,3,4,3,43%,57%,0,10
4222263,1,0,5,100%,0%,0,6
4222264,1,1,1,50%,50%,1,3
4222370,1,0,0,100%,0%,0,1
4222371,1,1,2,50%,50%,1,4
4222395,0,1,0,0%,100%,0,1
4222447,0,0,1,NaN%,NaN%,0,1
4222647,19,27,93,41%,59%,0,139
4222709,0,1,2,0%,100%,0,3
4222976,0,1,1,0%,100%,0,2
4223186,0,0,1,NaN%,NaN%,0,1
4223361,0,0,1,NaN%,NaN%,0,1
4223540,1,1,8,50%,50%,1,10
4223542,0,1,1,0%,100%,0,2
4223543,14,30,79,32%,68%,0,123
4223549,0,0,1,NaN%,NaN%,0,1
4223553,0,1,0,0%,100%,0,1
4223555,4,8,17,33%,67%,0,29
4223558,0,4,8,0%,100%,0,12
4223567,0,0,1,NaN%,NaN%,0,1
4223570,0,0,4,NaN%,NaN%,0,4
4223571,1,3,6,25%,75%,0,10
4223572,1,1,1,50%,50%,1,3
4223573,0,0,4,NaN%,NaN%,0,4
4223586,1,0,2,100%,0%,0,3
4223587,0,0,2,NaN%,NaN%,0,2
4223592,3,2,13,60%,40%,0,18
4223600,1,1,3,50%,50%,1,5
4223601,0,0,1,NaN%,NaN%,0,1
4223603,0,0,1,NaN%,NaN%,0,1
4223635,1,1,1,50%,50%,1,3
4223636,1,0,0,100%,0%,0,1
4223637,1,1,2,50%,50%,1,4
4223638,1,0,2,100%,0%,0,3
4223659,0,0,1,NaN%,NaN%,0,1
4223662,2,0,1,100%,0%,0,3
4223683,27,38,130,42%,58%,0,195
4223684,27,50,111,35%,65%,0,188
4223688,1,4,9,20%,80%,0,14
4223689,2,0,5,100%,0%,0,7
4223694,22,36,98,38%,62%,0,156
4223698,17,38,96,31%,69%,0,151
4223699,3,0,14,100%,0%,0,17
4223730,1,1,0,50%,50%,1,2
4223731,0,0,1,NaN%,NaN%,0,1
4223737,0,2,3,0%,100%,0,5
4223769,0,0,1,NaN%,NaN%,0,1
4223773,3,4,6,43%,57%,0,13
4223829,14,10,32,58%,42%,0,56
4223855,1,6,9,14%,86%,0,16
4223989,3,2,12,60%,40%,0,17
4224243,0,1,3,0%,100%,0,4
